ratingDescription,release_year,ratingLevel_len,rating_Child,rating_Juvenile,rating_Preschool,rating_Teenager,Highly_recommend_Yes
80,2004,54,0,1,0,0,1
90,2016,77,0,0,0,1,1
90,2008,77,0,0,0,1,1
70,2014,66,1,0,0,0,1
90,2016,77,0,0,0,1,1
110,2013,69,0,0,0,0,1
90,2017,77,0,0,0,1,1
110,2015,69,0,0,0,0,1
90,2016,77,0,0,0,1,1
70,2016,66,1,0,0,0,1
90,2016,77,0,0,0,1,1
90,2006,77,0,0,0,1,0
70,2008,66,1,0,0,0,1
90,2015,77,0,0,0,1,1
110,2016,69,0,0,0,0,1
90,2016,77,0,0,0,1,0
124,2016,30,0,0,0,0,1
10,2013,22,0,0,1,0,1
124,2013,30,0,0,0,0,0
110,2016,69,0,0,0,0,1
110,2017,3,0,0,0,0,1
110,2016,69,0,0,0,0,1
70,2016,66,1,0,0,0,1
110,2016,69,0,0,0,0,1
42,2016,75,1,0,0,0,1
110,2017,69,0,0,0,0,1
110,2017,3,0,0,0,0,1
110,2017,69,0,0,0,0,1
110,2017,3,0,0,0,0,1
90,2017,3,0,0,0,1,1
90,2012,77,0,0,0,1,1
90,2016,77,0,0,0,1,1
90,2008,77,0,0,0,1,1
90,2013,77,0,0,0,1,0
90,2012,77,0,0,0,1,1
70,2014,66,1,0,0,0,1
90,2016,77,0,0,0,1,1
110,2013,69,0,0,0,0,1
90,2015,77,0,0,0,1,1
70,2015,66,1,0,0,0,1
90,2017,77,0,0,0,1,1
110,2015,69,0,0,0,0,1
90,2016,77,0,0,0,1,1
90,2003,77,0,0,0,1,1
90,2013,77,0,0,0,1,1
90,2011,77,0,0,0,1,1
110,2015,69,0,0,0,0,1
90,2016,77,0,0,0,1,1
110,2016,69,0,0,0,0,1
90,2016,77,0,0,0,1,1
110,2016,69,0,0,0,0,1
110,2016,69,0,0,0,0,1
110,2016,69,0,0,0,0,1
90,2016,77,0,0,0,1,1
124,2016,30,0,0,0,0,1
110,2017,3,0,0,0,0,1
110,2017,69,0,0,0,0,1
90,2016,77,0,0,0,1,1
110,2017,69,0,0,0,0,1
70,2016,66,1,0,0,0,1
90,2016,77,0,0,0,1,1
110,2017,3,0,0,0,0,1
60,2016,45,1,0,0,0,1
100,2016,63,0,0,0,0,0
60,2016,22,1,0,0,0,1
110,2017,69,0,0,0,0,1
100,2016,61,0,0,0,0,1
60,2016,36,1,0,0,0,1
100,2016,45,0,0,0,0,1
110,2017,3,0,0,0,0,1
110,2017,3,0,0,0,0,1
90,2017,3,0,0,0,1,1
110,2017,69,0,0,0,0,1
70,2016,3,1,0,0,0,0
110,2016,3,0,0,0,0,0
90,2012,77,0,0,0,1,1
90,2012,77,0,0,0,1,0
90,2014,77,0,0,0,1,0
110,2016,69,0,0,0,0,1
110,2014,69,0,0,0,0,0
90,2015,77,0,0,0,1,1
90,2003,77,0,0,0,1,1
110,2016,69,0,0,0,0,1
90,2016,77,0,0,0,1,0
90,2016,77,0,0,0,1,1
90,2013,77,0,0,0,1,1
110,2017,3,0,0,0,0,1
110,2017,69,0,0,0,0,1
110,2016,69,0,0,0,0,1
110,2017,69,0,0,0,0,1
90,2016,77,0,0,0,1,0
70,2016,66,1,0,0,0,1
90,2015,77,0,0,0,1,0
110,2017,69,0,0,0,0,1
110,2017,3,0,0,0,0,1
110,2017,69,0,0,0,0,1
90,2017,3,0,0,0,1,1
110,2017,69,0,0,0,0,1
110,2017,3,0,0,0,0,0
110,2017,69,0,0,0,0,1
90,2012,77,0,0,0,1,1
90,2012,77,0,0,0,1,0
90,2013,77,0,0,0,1,0
110,2016,69,0,0,0,0,1
110,2014,69,0,0,0,0,0
90,2016,77,0,0,0,1,1
110,2017,69,0,0,0,0,1
110,2017,69,0,0,0,0,1
90,2016,77,0,0,0,1,1
90,2016,77,0,0,0,1,1
90,2016,77,0,0,0,1,0
100,2015,79,0,0,0,0,0
90,2016,77,0,0,0,1,0
70,2016,66,1,0,0,0,1
90,2015,77,0,0,0,1,0
90,2016,77,0,0,0,1,0
60,2016,49,1,0,0,0,1
90,2016,77,0,0,0,1,0
110,2017,3,0,0,0,0,1
110,2017,69,0,0,0,0,1
90,2016,77,0,0,0,1,0
110,2017,69,0,0,0,0,1
110,2016,3,0,0,0,0,0
90,2012,77,0,0,0,1,0
110,2015,69,0,0,0,0,1
90,2015,77,0,0,0,1,1
90,2006,77,0,0,0,1,1
90,2014,77,0,0,0,1,0
70,2010,66,1,0,0,0,0
90,2016,77,0,0,0,1,0
90,2016,77,0,0,0,1,1
90,2013,77,0,0,0,1,0
90,2014,77,0,0,0,1,0
90,2016,77,0,0,0,1,1
110,2017,69,0,0,0,0,1
110,2017,69,0,0,0,0,1
110,2017,69,0,0,0,0,1
90,2016,77,0,0,0,1,1
90,2015,77,0,0,0,1,0
90,2016,77,0,0,0,1,0
90,2016,77,0,0,0,1,0
70,2016,66,1,0,0,0,1
90,2015,77,0,0,0,1,0
60,2016,34,1,0,0,0,0
110,2016,69,0,0,0,0,1
110,2017,69,0,0,0,0,1
90,2017,3,0,0,0,1,1
110,2017,69,0,0,0,0,1
60,2016,62,1,0,0,0,0
70,2016,3,1,0,0,0,0
80,1998,36,0,1,0,0,1
80,1999,47,0,1,0,0,0
80,2003,25,0,1,0,0,0
80,2006,44,0,1,0,0,0
80,2006,46,0,1,0,0,0
35,2007,22,0,0,1,0,0
80,2008,34,0,1,0,0,1
60,2009,67,1,0,0,0,1
35,2009,41,0,0,1,0,0
90,2012,77,0,0,0,1,1
70,2010,66,1,0,0,0,1
90,2016,77,0,0,0,1,1
90,2008,77,0,0,0,1,1
90,2013,77,0,0,0,1,0
90,2012,77,0,0,0,1,1
70,2014,66,1,0,0,0,1
70,2015,66,1,0,0,0,1
90,2017,77,0,0,0,1,1
110,2015,69,0,0,0,0,1
90,2016,77,0,0,0,1,1
90,2003,77,0,0,0,1,1
90,2013,77,0,0,0,1,1
90,2005,77,0,0,0,1,1
90,2006,77,0,0,0,1,1
90,2014,77,0,0,0,1,0
70,2015,66,1,0,0,0,1
90,2016,77,0,0,0,1,1
110,2016,69,0,0,0,0,1
90,2015,77,0,0,0,1,1
90,2016,77,0,0,0,1,1
70,2014,66,1,0,0,0,1
90,2013,77,0,0,0,1,1
80,2013,80,0,1,0,0,0
90,2016,77,0,0,0,1,1
90,2015,77,0,0,0,1,1
90,2015,77,0,0,0,1,0
110,2017,69,0,0,0,0,1
90,2016,77,0,0,0,1,1
35,2016,22,0,0,1,0,1
60,2016,22,1,0,0,0,1
90,2016,77,0,0,0,1,0
110,2017,69,0,0,0,0,1
90,2016,77,0,0,0,1,1
70,2016,3,1,0,0,0,0
110,2017,69,0,0,0,0,1
80,1998,36,0,1,0,0,1
100,2001,64,0,0,0,0,0
35,2006,22,0,0,1,0,0
35,2007,22,0,0,1,0,0
80,2008,34,0,1,0,0,1
35,2009,41,0,0,1,0,0
90,2012,77,0,0,0,1,1
90,2016,77,0,0,0,1,1
90,2015,77,0,0,0,1,1
90,2008,77,0,0,0,1,1
110,2015,69,0,0,0,0,1
90,2016,77,0,0,0,1,1
90,2012,77,0,0,0,1,1
70,2014,66,1,0,0,0,1
90,2016,77,0,0,0,1,1
90,2015,77,0,0,0,1,1
70,2015,66,1,0,0,0,1
90,2017,77,0,0,0,1,1
90,2016,77,0,0,0,1,1
90,2003,77,0,0,0,1,1
90,2013,77,0,0,0,1,1
90,2011,77,0,0,0,1,1
90,2013,77,0,0,0,1,0
90,2006,77,0,0,0,1,1
90,2012,77,0,0,0,1,1
90,2014,77,0,0,0,1,0
90,2016,77,0,0,0,1,1
110,2016,69,0,0,0,0,1
90,2016,77,0,0,0,1,1
70,2015,66,1,0,0,0,1
90,2016,77,0,0,0,1,1
100,2012,74,0,0,0,0,0
80,2012,71,0,1,0,0,0
110,2016,69,0,0,0,0,1
90,2016,77,0,0,0,1,1
90,2015,77,0,0,0,1,1
90,2016,77,0,0,0,1,0
60,2015,31,1,0,0,0,1
90,2016,77,0,0,0,1,1
60,2016,45,1,0,0,0,1
60,2016,22,1,0,0,0,1
100,2016,61,0,0,0,0,1
90,2016,77,0,0,0,1,0
110,2017,3,0,0,0,0,1
110,2017,69,0,0,0,0,1
70,2016,3,1,0,0,0,0
90,2010,77,0,0,0,1,1
110,2012,69,0,0,0,0,1
90,2016,77,0,0,0,1,1
90,2010,77,0,0,0,1,1
90,2008,77,0,0,0,1,1
90,2012,77,0,0,0,1,1
70,2015,66,1,0,0,0,1
90,2017,77,0,0,0,1,1
90,2013,77,0,0,0,1,1
90,2006,77,0,0,0,1,1
70,2005,66,1,0,0,0,1
70,2014,66,1,0,0,0,1
110,2016,69,0,0,0,0,1
90,2016,77,0,0,0,1,1
90,2014,77,0,0,0,1,0
110,2016,69,0,0,0,0,1
70,2014,66,1,0,0,0,1
70,2016,66,1,0,0,0,1
90,2016,77,0,0,0,1,1
90,2013,77,0,0,0,1,1
90,2016,77,0,0,0,1,1
90,2016,77,0,0,0,1,1
90,2016,77,0,0,0,1,0
90,2015,77,0,0,0,1,0
90,2016,77,0,0,0,1,0
124,2016,30,0,0,0,0,1
110,2016,69,0,0,0,0,0
100,2016,39,0,0,0,0,1
110,2015,69,0,0,0,0,1
110,2017,69,0,0,0,0,1
90,2016,77,0,0,0,1,1
110,2016,69,0,0,0,0,1
90,2016,77,0,0,0,1,1
90,2016,77,0,0,0,1,1
90,2015,77,0,0,0,1,0
110,2017,3,0,0,0,0,1
110,2017,3,0,0,0,0,1
110,2017,69,0,0,0,0,1
90,2016,77,0,0,0,1,0
90,2016,77,0,0,0,1,1
110,2013,69,0,0,0,0,1
70,2012,66,1,0,0,0,1
90,2016,77,0,0,0,1,1
90,2010,77,0,0,0,1,1
90,2008,77,0,0,0,1,1
90,2016,77,0,0,0,1,1
90,2013,77,0,0,0,1,1
110,2013,69,0,0,0,0,1
90,2016,77,0,0,0,1,1
70,2014,66,1,0,0,0,1
90,2015,77,0,0,0,1,0
90,2016,50,0,0,0,1,1
110,2016,69,0,0,0,0,1
70,2015,66,1,0,0,0,1
70,2015,66,1,0,0,0,1
90,2016,77,0,0,0,1,1
90,2016,77,0,0,0,1,1
90,2012,77,0,0,0,1,0
90,2016,77,0,0,0,1,1
90,2012,77,0,0,0,1,1
90,2013,77,0,0,0,1,1
90,2015,77,0,0,0,1,1
90,2016,77,0,0,0,1,1
110,2016,69,0,0,0,0,0
90,2016,77,0,0,0,1,0
70,2016,66,1,0,0,0,1
90,2015,77,0,0,0,1,0
100,2016,39,0,0,0,0,1
110,2017,3,0,0,0,0,1
90,2016,77,0,0,0,1,1
110,2016,69,0,0,0,0,1
90,2016,77,0,0,0,1,1
110,2016,69,0,0,0,0,1
110,2016,3,0,0,0,0,0
90,2015,77,0,0,0,1,1
90,2016,77,0,0,0,1,1
90,2016,77,0,0,0,1,1
110,2016,69,0,0,0,0,1
110,2016,69,0,0,0,0,0
90,2012,77,0,0,0,1,1
90,2016,77,0,0,0,1,1
90,2015,77,0,0,0,1,1
90,2010,77,0,0,0,1,1
90,2008,77,0,0,0,1,1
90,2013,77,0,0,0,1,0
90,2012,77,0,0,0,1,1
70,2014,66,1,0,0,0,1
90,2015,77,0,0,0,1,1
90,2017,77,0,0,0,1,1
90,2016,77,0,0,0,1,1
90,2003,77,0,0,0,1,1
90,2005,77,0,0,0,1,0
90,2014,77,0,0,0,1,0
70,2014,66,1,0,0,0,1
90,2016,77,0,0,0,1,1
110,2016,69,0,0,0,0,1
90,2016,77,0,0,0,1,1
90,2014,77,0,0,0,1,0
110,2016,69,0,0,0,0,1
90,2016,77,0,0,0,1,1
70,2015,66,1,0,0,0,1
90,2016,77,0,0,0,1,1
70,2016,66,1,0,0,0,1
90,2016,77,0,0,0,1,1
90,2011,77,0,0,0,1,1
90,2016,77,0,0,0,1,1
90,2013,77,0,0,0,1,1
110,2016,69,0,0,0,0,1
110,2016,69,0,0,0,0,1
90,2016,77,0,0,0,1,1
110,2016,69,0,0,0,0,0
90,2016,77,0,0,0,1,1
90,2016,77,0,0,0,1,0
110,2017,69,0,0,0,0,1
90,2015,77,0,0,0,1,1
70,2016,66,1,0,0,0,1
90,2016,77,0,0,0,1,1
90,2016,77,0,0,0,1,1
110,2016,69,0,0,0,0,0
110,2017,69,0,0,0,0,1
110,2017,3,0,0,0,0,1
110,2017,69,0,0,0,0,1
110,2016,69,0,0,0,0,0
90,2016,77,0,0,0,1,0
60,1993,17,1,0,0,0,1
60,2002,47,1,0,0,0,1
35,2005,41,0,0,1,0,1
60,2008,71,1,0,0,0,0
60,2009,67,1,0,0,0,1
35,2010,22,0,0,1,0,0
70,2014,66,1,0,0,0,1
35,2012,22,0,0,1,0,1
41,2007,38,1,0,0,0,0
42,2003,75,1,0,0,0,0
42,2010,75,1,0,0,0,0
70,2012,66,1,0,0,0,0
42,2016,75,1,0,0,0,0
42,2016,75,1,0,0,0,1
60,2016,44,1,0,0,0,1
60,2016,25,1,0,0,0,1
35,2016,22,0,0,1,0,0
60,1993,17,1,0,0,0,1
35,1999,41,0,0,1,0,0
60,2002,47,1,0,0,0,1
60,1999,32,1,0,0,0,1
60,2008,71,1,0,0,0,0
35,2010,22,0,0,1,0,0
41,2007,38,1,0,0,0,0
42,2003,75,1,0,0,0,0
42,2010,75,1,0,0,0,0
42,2015,75,1,0,0,0,0
41,1998,38,1,0,0,0,1
10,2000,22,0,0,1,0,0
60,2016,26,1,0,0,0,0
42,2016,75,1,0,0,0,0
42,2016,75,1,0,0,0,0
42,2016,75,1,0,0,0,1
42,2015,75,1,0,0,0,0
35,2016,3,0,0,1,0,1
60,1994,18,1,0,0,0,1
60,1997,34,1,0,0,0,1
35,1999,41,0,0,1,0,1
35,2000,41,0,0,1,0,1
60,2002,47,1,0,0,0,1
60,2002,18,1,0,0,0,1
60,2004,42,1,0,0,0,1
60,2005,40,1,0,0,0,1
35,2005,41,0,0,1,0,1
60,2007,21,1,0,0,0,1
60,2008,32,1,0,0,0,1
60,2009,67,1,0,0,0,1
35,2010,22,0,0,1,0,0
35,2012,22,0,0,1,0,1
10,2015,22,0,0,1,0,0
35,2015,22,0,0,1,0,1
41,2016,38,1,0,0,0,1
10,2013,22,0,0,1,0,1
10,2007,22,0,0,1,0,0
60,2015,31,1,0,0,0,1
42,2017,75,1,0,0,0,1
10,2007,22,0,0,1,0,0
60,2015,40,1,0,0,0,1
41,2017,38,1,0,0,0,0
60,2015,69,1,0,0,0,1
60,2016,44,1,0,0,0,1
60,2016,45,1,0,0,0,1
60,2016,44,1,0,0,0,1
60,2015,26,1,0,0,0,0
60,2016,25,1,0,0,0,1
60,2016,38,1,0,0,0,1
60,2016,22,1,0,0,0,1
10,2016,22,0,0,1,0,0
35,2016,22,0,0,1,0,0
60,1994,18,1,0,0,0,1
60,1998,42,1,0,0,0,1
35,1999,41,0,0,1,0,1
35,1999,41,0,0,1,0,0
35,2000,41,0,0,1,0,1
35,2000,41,0,0,1,0,1
60,2002,18,1,0,0,0,1
60,2003,26,1,0,0,0,0
60,1982,30,1,0,0,0,0
35,2004,41,0,0,1,0,1
35,2005,41,0,0,1,0,1
60,2005,16,1,0,0,0,1
60,2007,21,1,0,0,0,1
60,2008,32,1,0,0,0,1
35,2010,22,0,0,1,0,0
10,2015,22,0,0,1,0,0
70,2008,66,1,0,0,0,0
10,1997,22,0,0,1,0,1
41,1998,38,1,0,0,0,1
10,2013,22,0,0,1,0,1
10,2007,22,0,0,1,0,0
10,2015,22,0,0,1,0,1
35,2012,22,0,0,1,0,1
60,2014,26,1,0,0,0,0
42,2016,75,1,0,0,0,0
60,2015,21,1,0,0,0,1
42,2017,75,1,0,0,0,1
10,2007,22,0,0,1,0,0
60,2015,40,1,0,0,0,1
60,2015,22,1,0,0,0,0
60,2016,45,1,0,0,0,1
60,2016,44,1,0,0,0,1
60,2015,26,1,0,0,0,0
60,2016,25,1,0,0,0,1
60,2016,22,1,0,0,0,1
10,2016,22,0,0,1,0,0
35,2016,22,0,0,1,0,0
60,1993,62,1,0,0,0,1
35,1993,41,0,0,1,0,1
60,1994,18,1,0,0,0,1
35,1997,41,0,0,1,0,1
35,1999,41,0,0,1,0,1
35,2000,41,0,0,1,0,1
60,2002,47,1,0,0,0,1
60,2002,18,1,0,0,0,1
60,1997,56,1,0,0,0,0
35,2005,41,0,0,1,0,1
35,2006,41,0,0,1,0,0
60,2007,21,1,0,0,0,1
60,2008,32,1,0,0,0,1
60,2009,67,1,0,0,0,1
35,2010,22,0,0,1,0,0
10,2015,22,0,0,1,0,0
35,2015,22,0,0,1,0,1
35,2012,41,0,0,1,0,0
10,1997,22,0,0,1,0,1
10,2013,22,0,0,1,0,1
10,2015,22,0,0,1,0,1
35,2012,22,0,0,1,0,1
60,2015,31,1,0,0,0,1
60,2014,26,1,0,0,0,0
60,2015,21,1,0,0,0,1
42,2017,75,1,0,0,0,1
10,2007,22,0,0,1,0,0
60,2015,40,1,0,0,0,1
35,2015,22,0,0,1,0,1
60,2016,44,1,0,0,0,1
35,2016,22,0,0,1,0,0
60,2016,45,1,0,0,0,1
60,2016,44,1,0,0,0,1
60,2015,26,1,0,0,0,0
60,2016,25,1,0,0,0,1
60,2016,38,1,0,0,0,1
60,2016,57,1,0,0,0,1
60,2016,36,1,0,0,0,1
60,2016,49,1,0,0,0,1
10,2016,22,0,0,1,0,0
35,2016,3,0,0,1,0,1
41,1990,38,1,0,0,0,0
60,1993,62,1,0,0,0,1
35,1997,41,0,0,1,0,1
60,1998,42,1,0,0,0,1
60,1998,42,1,0,0,0,1
35,1999,41,0,0,1,0,1
60,2000,35,1,0,0,0,1
35,1998,22,0,0,1,0,0
35,2000,41,0,0,1,0,1
35,1986,41,0,0,1,0,0
35,1995,41,0,0,1,0,0
60,1999,32,1,0,0,0,1
35,2006,41,0,0,1,0,0
10,1997,22,0,0,1,0,1
41,1997,38,1,0,0,0,0
35,2014,41,0,0,1,0,0
35,2015,22,0,0,1,0,1
60,2016,38,1,0,0,0,1
41,1990,38,1,0,0,0,0
60,1997,34,1,0,0,0,1
35,1997,41,0,0,1,0,1
35,1999,41,0,0,1,0,0
35,1986,41,0,0,1,0,0
60,2002,47,1,0,0,0,1
35,1992,41,0,0,1,0,0
35,1995,41,0,0,1,0,0
60,1999,32,1,0,0,0,1
10,2007,22,0,0,1,0,0
60,2015,40,1,0,0,0,1
41,1990,38,1,0,0,0,0
60,1993,62,1,0,0,0,1
35,1997,41,0,0,1,0,1
60,1998,42,1,0,0,0,1
60,1998,42,1,0,0,0,1
35,1999,41,0,0,1,0,1
60,2000,35,1,0,0,0,1
35,1998,22,0,0,1,0,0
35,2000,41,0,0,1,0,1
35,1986,41,0,0,1,0,0
35,1995,41,0,0,1,0,0
60,1999,32,1,0,0,0,1
35,2006,41,0,0,1,0,0
10,1997,22,0,0,1,0,1
41,1997,38,1,0,0,0,0
35,2014,41,0,0,1,0,0
35,2015,22,0,0,1,0,1
60,2016,38,1,0,0,0,1
41,1990,38,1,0,0,0,0
60,1993,62,1,0,0,0,1
35,1993,41,0,0,1,0,1
35,1997,41,0,0,1,0,1
60,1998,42,1,0,0,0,1
60,2000,35,1,0,0,0,1
60,1987,62,1,0,0,0,0
60,2001,15,1,0,0,0,1
35,1992,41,0,0,1,0,0
35,1995,41,0,0,1,0,0
35,2003,41,0,0,1,0,0
60,1982,30,1,0,0,0,0
60,1999,32,1,0,0,0,1
35,2004,41,0,0,1,0,1
60,2005,53,1,0,0,0,1
35,2006,41,0,0,1,0,0
41,1997,38,1,0,0,0,0
35,2014,41,0,0,1,0,0
35,2016,3,0,0,1,0,1
60,1993,62,1,0,0,0,1
60,1997,34,1,0,0,0,1
35,1997,41,0,0,1,0,1
60,1998,42,1,0,0,0,1
60,2000,35,1,0,0,0,1
35,1986,41,0,0,1,0,0
60,1987,62,1,0,0,0,0
60,1994,30,1,0,0,0,0
35,1995,41,0,0,1,0,0
60,1994,62,1,0,0,0,1
60,1995,29,1,0,0,0,0
60,1982,30,1,0,0,0,0
60,1994,42,1,0,0,0,0
60,1989,62,1,0,0,0,1
60,1999,32,1,0,0,0,1
70,2009,66,1,0,0,0,0
10,1997,22,0,0,1,0,1
10,2000,22,0,0,1,0,0
60,2014,26,1,0,0,0,0
41,2017,38,1,0,0,0,0
60,2016,57,1,0,0,0,1
35,2016,3,0,0,1,0,1
